Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Commune,Venue,Venue Id,Venue Likes,Venue Latitude,Venue Longitude,Venue Category
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",Juan Valdez Café,53a4b846498e35d5abb223eb,48,3.3643985317117338,-76.53392617742965,Coffee Shop
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",Mister Wings,525c661a11d24a7bb38ec4fe,110,3.364481517527786,-76.53568941652918,Wings Joint
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",Tortelli,4d05131b0e49721e9d67747f,45,3.3646393344302603,-76.53420630786773,Italian Restaurant
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",El Obelisco,51e20cfa498e8fc6b173739f,55,3.3648543755857276,-76.5356896312165,Restaurant
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",Palmas Mall,4c26a755136d20a16ccce561,33,3.36464861306421,-76.53424496710154,Shopping Mall
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",Cuuc | Juice and Food,506471a1e4b0974e7c3088f9,113,3.364142690976436,-76.53354887465802,Sandwich Place
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",Tosta Todo,56e37c54cd10a13a7a81bb8f,6,3.3644877239361386,-76.5354531836628,Restaurant
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",Pampa Malbec,51b62b7f498e84fba2d16217,12,3.364477,-76.533505,Argentinian Restaurant
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",Absenta Ciudad Jardin,4e9a523e4901d3b0b6e514a4,100,3.3645595397312262,-76.53485605315296,Cocktail Bar
Urbanización Ciudad Jardín,3.363480000000038,-76.53549999999996,"22, Cali, Colombia",Archie`s,4cc3863801fb236a2773a6ba,53,3.364670855523931,-76.53409755413448,Italian Restaurant
